2022-11-02 15:45:05,862	ERROR	start predict
2022-11-02 15:45:05,864	INFO	loading model...
2022-11-02 15:45:05,874	INFO	predict...
2022-11-02 15:53:30,883	ERROR	start predict
2022-11-02 15:53:30,886	INFO	loading model...
2022-11-02 15:53:30,896	INFO	predict...
2022-11-02 16:56:08,239	ERROR	start predict
2022-11-02 16:56:08,242	INFO	loading model...
2022-11-02 16:56:08,255	INFO	predict...
2022-11-02 16:57:34,193	ERROR	start predict
2022-11-02 16:57:34,196	INFO	loading model...
2022-11-02 16:57:34,196	INFO	predict...
2022-11-02 17:01:30,789	ERROR	start predict
2022-11-02 17:01:30,792	INFO	loading model...
2022-11-02 17:01:31,069	INFO	predict...
2022-11-02 17:19:28,830	ERROR	start predict
2022-11-02 17:19:28,833	INFO	loading model...
2022-11-02 17:19:29,042	INFO	predict...
2022-11-02 17:20:26,899	ERROR	start predict
2022-11-02 17:20:26,902	INFO	loading model...
2022-11-02 17:20:27,119	INFO	predict...
2022-11-02 17:20:40,963	ERROR	start predict
2022-11-02 17:20:40,966	INFO	loading model...
2022-11-02 17:20:41,180	INFO	predict...
2022-11-02 17:21:33,966	ERROR	start predict
2022-11-02 17:21:33,969	INFO	loading model...
2022-11-02 17:21:34,188	INFO	predict...
2022-11-02 17:21:37,248	ERROR	start predict
2022-11-02 17:21:37,250	INFO	loading model...
2022-11-02 17:21:37,469	INFO	predict...
2022-11-02 17:23:33,096	ERROR	start predict
2022-11-02 17:23:33,099	INFO	loading model...
2022-11-02 17:23:33,299	INFO	predict...
2022-11-02 17:23:33,301	INFO	predictions was writen to ../data/predictions.csv...
2022-11-02 17:24:15,312	ERROR	start predict
2022-11-02 17:24:15,314	INFO	loading model...
2022-11-02 17:24:15,570	INFO	predict...
2022-11-02 17:24:15,580	INFO	predictions was writen to ../data/predictions.csv...
